abs_delta_rho,aligned_effect,bin,bin_hi,bin_lo,direction,direction_match,full_aligned_effect,pair_id,patch_fraction,recovery_vs_full,transfer_direction
2.079441541679836,0.027072913165238077,3,3.828641396489095,2.0794415416798357,b_to_a,1,0.04519467196947691,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_30_objects,0.17551002925032216,0.5990288674630118,fictional_to_iso
1.3862943611198906,-0.010633000371707668,2,2.0794415416798357,1.3862943611198906,a_to_b,0,0.07907030692592731,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_60_objects,-0.08523932345040555,-0.13447526366210533,fictional_to_iso
1.3862943611198906,-0.007423967596346337,2,2.0794415416798357,1.3862943611198906,b_to_a,0,0.05392605353677382,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_60_objects,-0.059514149638712446,-0.13766940299615485,fictional_to_iso
0.6931471805599454,0.008910446044928522,1,1.3862943611198906,0.26570316573300556,a_to_b,1,0.08159847063851489,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_120_objects,0.3310465256731043,0.10919868932840938,fictional_to_iso
0.6931471805599454,0.008772432312853073,1,1.3862943611198906,0.26570316573300556,b_to_a,1,0.07606669255216958,size-v2-iso_ratio-p0360-Scale_class_240_objects-vs-Scale_class_120_objects,0.32591895223083417,0.11532553892541848,fictional_to_iso
2.1972245773362196,0.21909856407283645,3,3.828641396489095,2.0794415416798357,a_to_b,1,0.4890227460369876,size-v2-fictional_semantic-p0003-Type_B_dax_rods-vs-Type_A_dax_rods,0.30308398327776465,0.4480334827948162,iso_to_fictional
2.1972245773362196,0.20910131610424987,3,3.828641396489095,2.0794415416798357,b_to_a,1,0.5599530587466222,size-v2-fictional_semantic-p0003-Type_B_dax_rods-vs-Type_A_dax_rods,0.28925456477401085,0.3734265093082881,iso_to_fictional
3.828641396489095,0.17725896480702485,4,5.85793315448346,3.828641396489095,a_to_b,1,0.29694816285925274,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,0.24680382063444983,0.5969357180062499,iso_to_fictional
3.828641396489095,0.23991188668138363,4,5.85793315448346,3.828641396489095,b_to_a,1,0.4400670964220308,size-v2-fictional_semantic-p0003-Type_C_dax_rods-vs-Type_A_dax_rods,0.3340376624282198,0.5451711537444841,iso_to_fictional
4.0943445622221,0.26414712717566813,4,5.85793315448346,3.828641396489095,a_to_b,1,0.42339680948666003,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_D_dax_rods,0.40458291587405226,0.6238760454901128,iso_to_fictional
4.0943445622221,0.16353987842186468,4,5.85793315448346,3.828641396489095,b_to_a,1,0.2533426470065694,size-v2-fictional_semantic-p0003-Type_A_dax_rods-vs-Type_D_dax_rods,0.25048707355277583,0.6455284191359378,iso_to_fictional
5.135798437050262,0.13705610034769067,4,5.85793315448346,3.828641396489095,a_to_b,1,0.21345166370412993,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,0.26045600343005204,0.6420943176046974,iso_to_fictional
5.135798437050262,0.19050857802878052,4,5.85793315448346,3.828641396489095,b_to_a,1,0.3387888043111176,size-v2-fictional_semantic-p0003-Type_E_dax_rods-vs-Type_A_dax_rods,0.3620349822199976,0.562322531336756,iso_to_fictional
